"id","date_part","cash_flow"
277,"2009","-1246335"
277,"2010","8402322"
277,"2011","-2244308"
277,"2012","5447343"
277,"2013","4121042"
277,"2014","-5071610"
278,"2007","414215"
278,"2008","-620491"
278,"2009","792319"
278,"2010","1237635"
278,"2011","30110"
278,"2012","320087"
278,"2013","-193324"
278,"2014","-79890"
279,"2007","-102981"
279,"2008","242558"
279,"2009","-40023"
279,"2010","-102798"
279,"2011","-624935"
279,"2012","642824"
279,"2013","-364100"
279,"2014","244962"
285,"2008","-329790"
288,"2007","-1841429"
288,"2008","-2059365"
288,"2009","-3030668"
288,"2010","202556"
288,"2011","-1133013"
290,"2007","-40425"
290,"2008","-3324"
290,"2009","169789"
290,"2010","-6405"
290,"2011","-5334"
290,"2012","52828"
290,"2013","-187205"
290,"2014","-103292"
294,"2007","1356"
294,"2008","38060"
294,"2009","411197"
294,"2013","-22779"
294,"2014","-235202"
296,"2008","748844"
297,"2007","92770"
297,"2008","-107847"
297,"2009","-375805"
297,"2010","-140079"
297,"2011","-387647"
297,"2012","523464"
297,"2013","126068"
297,"2014","-284536"
305,"2007","8232530"
305,"2008","28627875"
305,"2009","-7976689"
305,"2010","6456286"
305,"2011","13873532"
305,"2012","15233683"
305,"2013","-11857427"
305,"2014","47323894"
306,"2008","-872559"
306,"2009","-372092"
306,"2010","371651"
306,"2011","28962"
306,"2012","14975"
321,"2007","108516"
321,"2008","-2471294"
321,"2009","-571675"
321,"2010","-1254002"
321,"2011","-230603"
321,"2012","652854"
321,"2013","-8800195"
321,"2014","-1181290"
327,"2014","-10045"
329,"2008","355642"
329,"2009","390219"
329,"2010","342046"
329,"2011","-811716"
329,"2012","399291"
329,"2013","-246872"
329,"2014","43578"
340,"2007","-1496078"
340,"2008","9815610"
340,"2009","140152"
340,"2010","-1954664"
340,"2011","1860135"
340,"2012","-1516059"
340,"2013","2211667"
340,"2014","-392802"
347,"2007","-200550"
347,"2008","473622"
347,"2009","8414"
347,"2010","-131507"
347,"2011","270901"
347,"2012","624623"
347,"2013","-70050"
347,"2014","219622"
357,"2007","55361"
357,"2008","76569"
357,"2009","86396"
357,"2010","-264942"
357,"2011","-87880"
357,"2012","987344"
357,"2013","-355254"
357,"2014","26946"
360,"2007","-4288104"
360,"2008","-17579213"
360,"2009","-40716113"
360,"2010","74597066"
360,"2011","-220091192"
360,"2012","-1178837"
360,"2013","6522044"
360,"2014","3776639"
370,"2007","1677"
378,"2012","-1782"
378,"2013","-250125"
378,"2014","-32003"
390,"2007","-31706"
390,"2008","613610"
390,"2009","-851455"
390,"2010","70211"
407,"2007","4601380"
407,"2008","-1292286"
407,"2009","299513"
407,"2010","-4087923"
407,"2011","15602830"
407,"2012","8974797"
412,"2007","-75774"
412,"2008","71406"
412,"2009","-292086"
412,"2010","645224"
412,"2011","-710209"
412,"2012","-1874688"
412,"2013","881577"
412,"2014","-206678"
420,"2009","8405"
420,"2010","1264001"
420,"2011","311147"
420,"2012","19891"
420,"2014","-4946681"
429,"2007","662213"
429,"2008","-3095830"
429,"2009","-577833"
429,"2010","-587255"
429,"2011","-1488551"
429,"2013","189685"
429,"2014","2068599"
431,"2007","4554122"
431,"2008","-16874915"
431,"2009","4382964"
431,"2010","12082394"
431,"2011","705106"
431,"2012","4176137"
431,"2013","-1812142"
431,"2014","2847649"
433,"2013","-18213"
433,"2014","122574"
437,"2007","198882"
437,"2008","62292"
437,"2009","199956"
437,"2010","268546"
437,"2011","61308"
437,"2012","243280"
437,"2013","-64964"
437,"2014","10590"
443,"2007","2332683"
443,"2008","-1638647"
443,"2009","3892086"
443,"2010","9483531"
443,"2011","-663963"
443,"2012","-3505297"
443,"2013","557484"
443,"2014","-359971"
447,"2007","-774750"
447,"2008","30594130"
447,"2009","-5115327"
447,"2010","3065830"
447,"2011","-12659804"
447,"2012","-3285009"
447,"2013","-22661072"
447,"2014","5679826"
453,"2007","-95266"
453,"2008","653422"
453,"2009","1049138"
453,"2010","138835"
453,"2011","-842308"
453,"2012","950316"
453,"2013","811772"
458,"2007","-109975"
458,"2008","-312919"
458,"2009","106050"
458,"2010","-23623"
468,"2007","-24127"
468,"2008","527399"
468,"2009","67758"
468,"2010","255007"
468,"2011","453373"
468,"2012","5534"
468,"2013","786847"
468,"2014","79883"
472,"2007","-708715"
472,"2008","526422"
472,"2009","3482394"
480,"2007","1486181"
480,"2008","975181"
480,"2009","56731"
480,"2010","-487902"
480,"2011","1518744"
480,"2012","-3167743"
480,"2013","3318440"
480,"2014","2867777"
493,"2012","308198"
493,"2013","16646"
493,"2014","112741"
504,"2008","-39732"
504,"2009","181904"
504,"2010","390039"
504,"2011","1063959"
504,"2012","-472375"
504,"2013","763929"
504,"2014","-1049074"
505,"2007","-950190"
505,"2008","53785"
505,"2009","-87942"
505,"2010","-826614"
505,"2011","181349"
505,"2012","1622"
505,"2013","-533052"
505,"2014","380680"
511,"2014","-63650"
515,"2007","3989093"
515,"2008","236973"
515,"2009","-583130"
517,"2007","-387429"
517,"2008","97013"
517,"2009","207421"
517,"2010","-169090"
517,"2011","13784"
517,"2012","948"
517,"2013","8703"
517,"2014","-29169"
518,"2007","1216954"
518,"2008","132501"
518,"2009","-103683"
518,"2010","407867"
518,"2011","-1127739"
518,"2012","488982"
518,"2013","-28562"
518,"2014","-143079"
522,"2007","-1848152"
522,"2008","-1164783"
522,"2009","856797"
522,"2010","-775578"
522,"2011","-648397"
522,"2012","900016"
522,"2013","449974"
522,"2014","-842338"
541,"2007","1840317"
541,"2008","913029"
541,"2009","566366"
541,"2010","-816981"
541,"2011","-227188"
541,"2012","525220"
541,"2013","925537"
541,"2014","471928"
552,"2007","328882"
552,"2008","72071"
552,"2009","-468934"
552,"2010","891405"
552,"2011","-504378"
552,"2012","-1662085"
552,"2013","449274"
552,"2014","598764"
578,"2007","-378705"
578,"2008","593485"
578,"2009","-23620"
578,"2010","575455"
578,"2011","400770"
578,"2012","-363391"
578,"2013","389599"
578,"2014","902799"
580,"2008","137493"
580,"2009","46112"
580,"2010","-179215"
580,"2011","133747"
580,"2012","-30634"
600,"2007","-71933"
600,"2008","146878"
600,"2009","26638"
600,"2010","-211287"
608,"2012","474201"
608,"2013","506007"
608,"2014","468251"
610,"2007","-1000093"
610,"2008","2266435"
610,"2009","825595"
610,"2010","37694"
610,"2011","1157198"
610,"2012","-1356989"
610,"2013","242395"
610,"2014","148064"
636,"2007","-601502"
636,"2008","766658"
636,"2009","1034771"
636,"2010","-605322"
636,"2011","584906"
636,"2012","557462"
636,"2013","-477733"
636,"2014","-205596"
642,"2007","-561709"
642,"2008","110924"
642,"2009","-85632"
642,"2010","-82769"
642,"2011","-206216"
642,"2012","589966"
642,"2013","761160"
642,"2014","792068"
644,"2007","-11680"
664,"2007","-585526"
664,"2008","-196447"
664,"2009","367937"
664,"2010","217996"
664,"2011","-142072"
677,"2007","372724"
677,"2008","-24747"
677,"2009","1054834"
677,"2010","-32863"
677,"2011","585911"
677,"2012","-5099"
677,"2013","-622743"
677,"2014","20988"
678,"2007","117396"
678,"2008","-952450"
678,"2009","80116"
678,"2010","-604607"
678,"2011","-5012730"
678,"2012","3479821"
678,"2013","69167"
678,"2014","-120723"
689,"2007","-13550"
689,"2008","-17805"
694,"2007","-4566797"
694,"2008","-3818478"
694,"2009","-1544778"
694,"2010","1592943"
694,"2011","-3795433"
694,"2012","-382644"
694,"2013","-1678927"
